	site_no	Mean Flow	Coeff Var	TQmean	R-B Index	Station
1	3335000.0	1045.4047741935485	77.40710635707943	0.3348387096774193	0.21433240122966832	Wildcat
2	3335000.0	1147.6435221674876	73.76526312947676	0.3419950738916257	0.21976644391995934	Wildcat
3	3335000.0	1422.2251612903228	65.8096897216662	0.36193548387096774	0.21464431208972926	Wildcat
4	3335000.0	1373.3724242424244	65.24192029793035	0.3559393939393939	0.20956556622774378	Wildcat
5	3335000.0	1136.8360763660303	64.2782128242618	0.3732718894009217	0.20884884984991847	Wildcat
6	3335000.0	1073.0213333333334	75.41663817546963	0.3317777777777778	0.2787004210368122	Wildcat
7	3335000.0	663.1460645161292	66.07878597468455	0.3361290322580645	0.23743198740681365	Wildcat
8	3335000.0	331.7521935483871	70.0486902943608	0.29612903225806453	0.23495406023978596	Wildcat
9	3335000.0	345.4254	51.547777154808735	0.316	0.17215807572534395	Wildcat
10	3335000.0	371.3216774193549	46.285063856093174	0.3516129032258064	0.14612493505797056	Wildcat
11	3335000.0	640.7542	65.00995136438732	0.32266666666666666	0.18950929776608114	Wildcat
12	3335000.0	922.6751612903228	65.21889589318077	0.3574193548387097	0.1933598735138116	Wildcat
1	3331500.0	1118.534193548387	37.60277376569959	0.38451612903225807	0.08323713540747908	Tippe
2	3331500.0	1243.4372413793103	43.295689103612375	0.39221674876847296	0.09141017513737794	Tippe
3	3331500.0	1586.004516129032	33.23218779675563	0.4251612903225807	0.07514044599944197	Tippe
4	3331500.0	1555.0520000000001	33.27928344868608	0.44999999999999996	0.07493714413693335	Tippe
5	3331500.0	1219.6025806451614	35.54750036954739	0.40258064516129033	0.07814627312333024	Tippe
6	3331500.0	1093.35	31.983243199631964	0.44400000000000006	0.0841407226776873	Tippe
7	3331500.0	680.3464516129034	36.5373581138389	0.4109677419354839	0.08646069153661104	Tippe
8	3331500.0	471.6193548387097	31.02182129802363	0.4070967741935484	0.07107482181290674	Tippe
9	3331500.0	409.1966666666667	26.53852094557919	0.37666666666666665	0.06406772594188101	Tippe
10	3331500.0	491.2212903225806	24.748246179076233	0.41290322580645167	0.05473488695917417	Tippe
11	3331500.0	688.158	30.0505602795865	0.4006666666666666	0.07080746176526749	Tippe
12	3331500.0	935.2361290322582	31.32764937670464	0.3967741935483871	0.07256855352817772	Tippe
